Date,O2,N2,CO,CO2
2023-04-23 01:37,14.4200,85.2279,0.0021,0.3500
2023-04-23 01:42,13.8400,85.6570,0.0030,0.5000
2023-04-23 09:55,18.7200,81.0282,0.0018,0.2500
2023-04-23 10:00,13.6400,85.9281,0.0019,0.4300
2023-04-23 10:05,13.6000,85.9569,0.0031,0.4400
2023-04-23 17:55,18.7200,81.0389,0.0011,0.2400
2023-04-23 18:00,14.0300,85.6081,0.0019,0.3600
2023-04-23 18:05,14.0500,85.4570,0.0030,0.4900
2023-04-24 01:35,19.1500,80.5885,0.0015,0.2600
2023-04-24 01:40,14.6400,84.9177,0.0023,0.4400
2023-04-24 01:45,13.1400,86.4173,0.0027,0.4400
2023-04-24 13:55,19.0900,80.6982,0.0018,0.2100
2023-04-24 14:00,14.5200,85.3356,0.0024,0.4200
2023-04-24 14:05,13.8400,85.7574,0.0026,0.4000
2023-04-24 17:52,18.7000,80.9783,0.0017,0.3200
2023-04-24 17:57,13.5900,86.0476,0.0024,0.3600
2023-04-24 18:02,13.5400,85.9671,0.0029,0.4900
2023-04-25 00:26,18.7100,80.9986,0.0014,0.2900
2023-04-25 00:31,13.6100,85.9278,0.0022,0.4600
2023-04-25 00:36,13.5600,85.9675,0.0025,0.4700
2023-04-25 09:14,18.8500,80.8683,0.0017,0.2800
2023-04-25 09:19,13.5100,86.1180,0.0020,0.3700
2023-04-25 09:24,13.9400,85.5970,0.0030,0.4600
2023-04-25 18:57,18.6700,81.0083,0.0017,0.3200
2023-04-25 19:02,13.9200,85.6578,0.0022,0.4200
2023-04-25 19:07,13.9200,85.6475,0.0025,0.4300
2023-04-26 01:26,19.0700,80.6486,0.0014,0.2800
2023-04-26 01:31,14.4600,85.0877,0.0023,0.4500
2023-04-26 01:36,12.9400,86.6075,0.0025,0.4500
2023-04-26 09:03,18.9600,80.7983,0.0017,0.2400
2023-04-26 09:08,13.7700,85.7581,0.0019,0.4700
2023-04-26 09:13,12.6300,86.9370,0.0030,0.4300
2023-04-26 18:04,19.0300,80.7486,0.0014,0.2200
2023-04-26 18:09,13.9200,85.6277,0.0023,0.4500
2023-04-26 18:14,12.8100,86.7775,0.0025,0.4100
2023-04-27 00:19,18.8600,80.8386,0.0014,0.3000
2023-04-27 00:24,13.9500,85.5777,0.0023,0.4700
2023-04-27 00:29,13.9600,85.5674,0.0026,0.4700
2023-04-27 08:14,18.9300,80.7287,0.0013,0.3400
2023-04-27 08:19,13.6900,85.8877,0.0023,0.4200
2023-04-27 08:24,13.0200,86.5266,0.0034,0.4500
2023-04-27 18:01,18.8700,80.8281,0.0019,0.3000
2023-04-27 18:06,13.5600,86.0579,0.0021,0.3800
2023-04-27 18:11,12.8700,86.7171,0.0029,0.4100
2023-04-28 00:32,18.6000,81.0986,0.0014,0.3000
2023-04-28 00:37,14.3400,85.2677,0.0023,0.3900
2023-04-28 00:42,13.2800,86.2475,0.0025,0.4700
2023-04-28 09:11,18.9700,80.8086,0.0014,0.2200
2023-04-28 09:16,13.7900,85.7576,0.0024,0.4500
2023-04-28 09:21,12.6600,86.9274,0.0026,0.4100
2023-04-28 18:36,18.7300,80.9585,0.0015,0.3100
2023-04-28 18:41,14.0700,85.5079,0.0021,0.4200
2023-04-28 18:46,14.0900,85.4863,0.0037,0.4200
2023-04-29 01:22,19.0400,80.6890,0.0010,0.2700
2023-04-29 01:27,14.3800,85.1780,0.0020,0.4400
2023-04-29 01:32,13.8000,85.7273,0.0027,0.4700
2023-04-29 12:01,18.8000,80.8881,0.0019,0.3100
2023-04-29 12:06,14.8000,84.8080,0.0020,0.3900
2023-04-29 12:11,13.8100,85.7068,0.0032,0.4800
2023-04-29 18:05,18.8700,80.8084,0.0016,0.3200
2023-04-29 18:10,13.9900,85.6576,0.0024,0.3500
2023-04-29 18:15,14.0000,85.5171,0.0029,0.4800
2023-04-30 03:22,13.6900,85.8074,0.0026,0.5000
2023-04-30 03:27,18.7900,80.9685,0.0015,0.2400
2023-04-30 03:32,13.8100,85.7677,0.0023,0.4200
2023-04-30 11:50,18.6400,81.0381,0.0019,0.3200
2023-04-30 11:55,14.4300,85.1679,0.0021,0.4000
2023-04-30 12:00,13.8600,85.7072,0.0028,0.4300
2023-04-30 18:06,18.9800,80.6887,0.0013,0.3300
2023-04-30 18:11,14.6500,84.9180,0.0020,0.4300
2023-04-30 18:16,13.1500,86.4166,0.0034,0.4300
2023-05-01 02:43,18.8900,80.8283,0.0017,0.2800
2023-05-01 02:48,14.4300,85.1778,0.0022,0.3900
2023-05-01 02:53,13.3900,86.1264,0.0036,0.4800
2023-05-01 09:01,18.6400,81.0487,0.0013,0.3100
2023-05-01 09:06,13.8700,85.7180,0.0020,0.4100
2023-05-01 09:11,13.8600,85.7166,0.0034,0.4200
2023-05-01 18:53,19.0900,80.5985,0.0015,0.3100
2023-05-01 18:58,14.4900,85.0377,0.0023,0.4700
2023-05-01 19:03,12.9700,86.5474,0.0026,0.4800
2023-05-02 01:48,18.6400,81.0283,0.0017,0.3300
2023-05-02 01:53,14.4100,85.1780,0.0020,0.4100
2023-05-02 01:58,13.8300,85.7274,0.0026,0.4400
2023-05-02 09:55,18.8100,80.8988,0.0012,0.2900
2023-05-02 10:00,14.2500,85.3481,0.0019,0.4000
2023-05-02 10:05,13.1800,86.3271,0.0029,0.4900
2023-05-02 17:42,18.7800,80.9784,0.0016,0.2400
2023-05-02 17:47,13.7800,85.7977,0.0023,0.4200
2023-05-02 17:52,13.7500,85.8172,0.0028,0.4300
2023-05-03 01:44,19.0600,80.6584,0.0016,0.2800
2023-05-03 01:49,14.4300,85.1177,0.0023,0.4500
2023-05-03 01:54,12.9000,86.6472,0.0028,0.4500
2023-05-03 09:25,18.8100,80.8882,0.0018,0.3000
2023-05-03 09:30,14.2500,85.3377,0.0023,0.4100
2023-05-03 09:35,13.7400,85.8374,0.0026,0.4200
2023-05-03 18:09,18.6800,80.9986,0.0014,0.3200
2023-05-03 18:14,13.5400,86.0978,0.0022,0.3600
2023-05-03 18:19,13.9800,85.5764,0.0036,0.4400
2023-05-04 01:20,18.9200,80.8788,0.0012,0.2000
2023-05-04 01:25,14.0900,85.5179,0.0021,0.3900
2023-05-04 01:30,12.5100,86.9664,0.0036,0.5200
2023-05-04 09:16,18.9500,80.7284,0.0016,0.3200
2023-05-04 09:21,14.1700,85.4776,0.0024,0.3500
2023-05-04 09:26,12.6000,86.9171,0.0029,0.4800
2023-05-04 17:36,18.7000,81.0282,0.0018,0.2700
2023-05-04 17:41,13.5800,85.9781,0.0019,0.4400
2023-05-04 17:46,13.5300,86.0169,0.0031,0.4500
2023-05-05 02:25,18.9800,80.8085,0.0015,0.2100
2023-05-05 02:30,13.8100,85.7476,0.0024,0.4400
2023-05-05 02:35,12.6800,86.7973,0.0027,0.5200
2023-05-05 09:23,18.6300,81.1382,0.0018,0.2300
2023-05-05 09:28,14.8200,84.7681,0.0019,0.4100
2023-05-05 09:33,13.3400,86.2469,0.0031,0.4100
2023-05-05 17:54,18.8100,80.8790,0.0010,0.3100
2023-05-05 17:59,14.8100,84.7979,0.0021,0.3900
2023-05-05 18:04,13.8200,85.6967,0.0033,0.4800
2023-05-06 02:13,18.9000,80.8987,0.0013,0.2000
2023-05-06 02:18,13.6300,85.9377,0.0023,0.4300
2023-05-06 02:23,14.0700,85.4062,0.0038,0.5200
2023-05-06 11:41,18.8800,80.8690,0.0010,0.2500
2023-05-06 11:46,14.0000,85.5680,0.0020,0.4300
2023-05-06 11:51,14.0000,85.5666,0.0034,0.4300
2023-05-06 17:46,18.9400,80.7783,0.0017,0.2800
2023-05-06 17:51,13.7100,85.9181,0.0019,0.3700
2023-05-06 17:56,12.5600,86.9771,0.0029,0.4600
2023-05-07 00:41,18.9700,80.8382,0.0018,0.1900
2023-05-07 00:46,14.6300,84.9177,0.0023,0.4500
2023-05-07 00:51,13.1300,86.4174,0.0026,0.4500
2023-05-07 10:01,18.7700,81.0183,0.0017,0.2100
2023-05-07 10:06,13.7600,85.8376,0.0024,0.4000
2023-05-07 10:11,13.0900,86.4763,0.0037,0.4300
2023-05-07 17:50,18.7100,81.0682,0.0018,0.2200
2023-05-07 17:55,14.5800,84.9680,0.0020,0.4500
2023-05-07 18:00,14.0400,85.5479,0.0021,0.4100
2023-05-08 01:14,18.8200,80.9086,0.0014,0.2700
2023-05-08 01:19,13.8600,85.6878,0.0022,0.4500
2023-05-08 01:24,13.8400,85.7075,0.0025,0.4500
2023-05-08 09:19,18.9800,80.6882,0.0018,0.3300
2023-05-08 09:24,14.2400,85.3981,0.0019,0.3600
2023-05-08 09:29,13.1700,86.3771,0.0029,0.4500
2023-05-08 18:10,19.0600,80.6487,0.0013,0.2900
2023-05-08 18:15,14.8300,84.7680,0.0020,0.4000
2023-05-08 18:20,13.3600,86.2267,0.0033,0.4100
2023-05-09 00:21,18.9100,80.8485,0.0015,0.2400
2023-05-09 00:26,14.0700,85.5077,0.0023,0.4200
2023-05-09 00:31,14.0900,85.4773,0.0027,0.4300
2023-05-09 09:19,18.8900,80.8290,0.0010,0.2800
2023-05-09 09:24,13.6100,86.0179,0.0021,0.3700
2023-05-09 09:29,14.0500,85.4867,0.0033,0.4600
2023-05-09 18:27,18.6100,81.1987,0.0013,0.1900
2023-05-09 18:32,14.3400,85.2277,0.0023,0.4300
2023-05-09 18:37,13.2900,86.1962,0.0038,0.5100
2023-05-10 00:39,18.6300,81.1281,0.0019,0.2400
2023-05-10 00:44,14.4000,85.1379,0.0021,0.4600
2023-05-10 00:49,13.8300,85.6772,0.0028,0.4900
2023-05-10 09:09,18.9700,80.8088,0.0012,0.2200
2023-05-10 09:14,14.2300,85.3679,0.0021,0.4000
2023-05-10 09:19,12.6700,86.9164,0.0036,0.4100
2023-05-10 19:03,18.6400,81.0581,0.0019,0.3000
2023-05-10 19:08,14.8600,84.6680,0.0020,0.4700
2023-05-10 19:13,13.3900,86.1368,0.0032,0.4700
2023-05-11 01:25,18.6400,81.1584,0.0016,0.2000
2023-05-11 01:30,14.8400,84.7776,0.0024,0.3800
2023-05-11 01:35,13.3700,86.1171,0.0029,0.5100
2023-05-11 09:07,19.0400,80.7584,0.0016,0.2000
2023-05-11 09:12,14.3800,85.2276,0.0024,0.3900
2023-05-11 09:17,13.8000,85.7864,0.0036,0.4100
2023-05-11 19:20,18.8000,80.8782,0.0018,0.3200
2023-05-11 19:25,14.7900,84.8080,0.0020,0.4000
2023-05-11 19:30,13.8000,85.7169,0.0031,0.4800
2023-05-12 01:23,18.6700,81.0484,0.0016,0.2800
2023-05-12 01:28,14.5000,85.1276,0.0024,0.3700
2023-05-12 01:33,13.9400,41.1463,0.0037,0.5200
2023-05-12 09:49,19.1600,80.5886,0.0014,0.2500
2023-05-12 09:54,13.6600,85.9679,0.0021,0.3700
2023-05-12 09:59,13.6200,85.8765,0.0035,0.5000
2023-05-12 17:01,19.0300,80.7384,0.0016,0.2300
2023-05-12 17:06,13.9400,85.5981,0.0019,0.4600
2023-05-12 17:11,12.8300,86.7472,0.0028,0.4200
2023-05-13 01:32,18.7000,80.9986,0.0014,0.3000
2023-05-13 01:37,14.5700,85.0376,0.0024,0.3900
2023-05-13 01:42,14.0100,85.5764,0.0036,0.4100
2023-05-13 09:37,18.7900,80.9388,0.0012,0.2700
2023-05-13 09:42,13.8000,85.7479,0.0021,0.4500
2023-05-13 09:47,13.7800,85.7663,0.0037,0.4500
2023-05-13 18:06,19.1700,80.5185,0.0015,0.3100
2023-05-13 18:11,14.6800,84.9677,0.0023,0.3500
2023-05-14 18:32,18.9500,80.7481,0.0019,0.3000
2023-05-14 18:37,14.5800,85.0076,0.0024,0.4100
2023-05-14 18:42,13.0700,86.5071,0.0029,0.4200
2023-05-13 18:16,12.8400,86.7267,0.0033,0.4300
2023-05-14 11:30,18.6600,81.0783,0.0017,0.2600
2023-05-14 11:35,14.4600,85.1880,0.0020,0.3500
2023-05-14 11:40,13.4200,86.1370,0.0030,0.4400
2023-05-14 01:45,18.6900,80.9882,0.0018,0.3200
2023-05-14 01:50,13.9800,85.5877,0.0023,0.4300
2023-05-14 01:55,13.9900,85.5774,0.0026,0.4300
2023-05-15 00:31,18.7100,80.9789,0.0011,0.3100
2023-05-15 00:36,14.0300,85.5481,0.0019,0.4200
2023-05-15 00:41,14.0400,85.5369,0.0031,0.4200
2023-05-15 10:33,18.7200,80.9388,0.0012,0.3400
2023-05-15 10:38,13.6300,85.9978,0.0022,0.3700
2023-05-15 10:43,13.5900,85.9063,0.0037,0.5000
2023-05-15 17:56,18.7200,81.0190,0.0010,0.2600
2023-05-15 18:01,13.6200,85.9380,0.0020,0.4400
2023-05-15 18:06,14.0700,85.4069,0.0031,0.5200
2023-05-16 01:27,18.8700,80.8881,0.0019,0.2400
2023-05-16 01:32,14.4100,85.2276,0.0024,0.3600
2023-05-16 01:37,12.8700,86.6372,0.0028,0.4900
2023-05-16 10:25,18.7200,81.0090,0.0010,0.2700
2023-05-16 10:30,14.0500,85.5676,0.0024,0.3800
2023-05-16 10:35,14.0700,85.4171,0.0029,0.5100
2023-05-16 17:29,18.9200,80.6790,0.0010,0.3300
2023-05-16 17:34,14.1000,85.5280,0.0020,0.3700
2023-05-16 17:39,12.5200,86.9766,0.0034,0.5000
2023-05-17 01:30,19.0900,80.5687,0.0013,0.3400
2023-05-17 01:35,14.5000,85.1278,0.0022,0.3700
2023-05-17 01:40,13.4700,86.0665,0.0035,0.4600
2023-05-17 13:21,18.7300,81.0486,0.0014,0.2200
2023-05-17 13:26,13.6500,85.9478,0.0022,0.4000
2023-05-17 13:31,13.6100,85.9775,0.0025,0.4100
2023-05-17 17:30,18.9500,80.7288,0.0012,0.3200
2023-05-17 17:35,14.1700,85.4679,0.0021,0.3600
2023-05-17 17:40,12.6000,86.9063,0.0037,0.4900
2023-05-18 01:35,19.0100,80.6588,0.0012,0.3300
2023-05-18 01:40,14.3000,85.3379,0.0021,0.3600
2023-05-18 01:45,12.7600,86.7464,0.0036,0.4900
2023-05-18 10:28,18.6600,81.0986,0.0014,0.2400
2023-05-18 10:33,14.4600,85.0676,0.0024,0.4700
2023-05-18 10:38,13.4200,86.1574,0.0026,0.4200
2023-05-18 20:43,18.7200,80.9390,0.0010,0.3400
2023-05-18 20:48,13.6300,85.9980,0.0020,0.3700
2023-05-18 20:53,13.5900,85.9066,0.0034,0.5000
2023-05-19 02:06,18.7100,80.9481,0.0019,0.3400
2023-05-19 02:11,13.6100,86.0181,0.0019,0.3700
2023-05-19 02:16,14.0500,85.4870,0.0030,0.4600
2023-05-19 09:22,18.7000,80.9685,0.0015,0.3300
2023-05-19 09:27,13.9900,85.5779,0.0021,0.4300
2023-05-19 09:32,14.0000,85.5563,0.0037,0.4400
2023-05-19 17:46,18.9100,80.7586,0.0014,0.3300
2023-05-19 17:51,14.0800,85.5577,0.0023,0.3600
2023-05-19 17:56,12.5000,87.0074,0.0026,0.4900
2023-05-20 01:45,18.9200,80.8783,0.0017,0.2000
2023-05-20 01:50,13.6700,85.8881,0.0019,0.4400
2023-05-20 01:55,12.9900,86.5475,0.0025,0.4600
2023-05-20 09:47,18.8800,80.8686,0.0014,0.2500
2023-05-20 09:52,14.4100,85.2279,0.0021,0.3600
2023-05-20 09:57,12.8800,86.6265,0.0035,0.4900
2023-05-20 17:27,19.0200,80.7486,0.0014,0.2300
2023-05-20 17:32,13.9100,85.6277,0.0023,0.4600
2023-05-20 17:37,12.7900,86.7875,0.0025,0.4200
2023-05-21 01:31,18.7200,81.0588,0.0012,0.2200
2023-05-21 01:36,13.6200,85.9779,0.0021,0.4000
2023-05-21 01:41,13.5800,86.0064,0.0036,0.4100
2023-05-21 09:41,19.1700,80.5181,0.0019,0.3100
2023-05-21 09:46,14.2500,85.3579,0.0021,0.3900
2023-05-21 09:51,13.1800,86.3368,0.0032,0.4800
2023-05-21 17:50,18.6500,81.1285,0.0015,0.2200
2023-05-21 17:55,14.4500,85.0976,0.0024,0.4500
2023-05-21 18:00,13.4100,86.1773,0.0027,0.4100
2023-05-22 01:30,18.9000,80.7889,0.0011,0.3100
2023-05-22 01:35,14.4600,85.1181,0.0019,0.4200
2023-05-22 01:40,12.9300,86.6469,0.0031,0.4200
2023-05-22 09:34,18.8300,80.9484,0.0016,0.2200
2023-05-22 09:39,14.3000,85.2278,0.0022,0.4700
2023-05-22 09:44,12.7600,86.7662,0.0038,0.4700
2023-05-22 19:37,18.9000,80.9083,0.0017,0.1900
2023-05-22 19:42,14.4600,85.0878,0.0022,0.4500
2023-05-22 19:47,12.9300,86.6175,0.0025,0.4500
2023-05-23 01:28,18.9300,80.7490,0.0010,0.3200
2023-05-23 01:33,14.1300,85.5180,0.0020,0.3500
2023-05-23 01:38,12.5500,86.9566,0.0034,0.4900