date,O2,N2,CO,CO2
2016/7/11 12:00,13.62,85.9779,0.0021,0.4
2016/7/11 13:00,13.58,86.0064,0.0036,0.41
2016/7/11 14:00,19.17,80.5181,0.0019,0.31
2016/7/11 15:00,14.25,85.3579,0.0021,0.39
2016/7/11 16:00,13.18,86.3368,0.0032,0.48
2016/7/11 17:00,18.65,81.1285,0.0015,0.22
2016/7/11 18:00,14.45,85.0976,0.0024,0.45
2016/7/11 19:00,13.41,86.1773,0.0027,0.41
2016/7/11 20:00,18.9,80.7889,0.0011,0.31
2016/7/11 21:00,14.46,85.1181,0.0019,0.42
2016/7/11 22:00,12.93,86.6469,0.0031,0.42
2016/7/11 23:00,18.83,80.9484,0.0016,0.22
2016/7/12 0:00,14.3,85.2278,0.0022,0.47
2016/7/12 1:00,12.76,86.7662,0.0038,0.47
2016/7/12 2:00,18.9,80.9083,0.0017,0.19
2016/7/12 3:00,14.46,85.0878,0.0022,0.45
2016/7/12 4:00,12.93,86.6175,0.0025,0.45
2016/7/12 5:00,18.93,80.749,0.001,0.32
2016/7/12 6:00,14.13,85.518,0.002,0.35
2016/7/12 7:00,12.55,86.9566,0.0034,0.49